Start_Lat,Start_Lng,Temperature(F),Humidity(%),Pressure(in),Wind_Speed(mph),Clima_grupo_Clear,Clima_grupo_Mostly Cloudy,Clima_grupo_Otro,Clima_grupo_Overcast,Clima_grupo_Partly Cloudy,Clima_grupo_Scattered Clouds,Sunrise_Sunset_Day,Sunrise_Sunset_Night,Crossing,Junction,Traffic_Signal,Stop,Station,Con_distancia,Baja_visibilidad
1.8055994690103385,9.408766716367035,-3.0409356725146197,0.35294117647058826,0.35294117647060547,0.8070175438596493,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1
1.4609348604806869,8.735878876779237,-3.4502923976608186,0.7352941176470589,1.4705882352941337,0.4035087719298246,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
1.2635817829277969,8.752124726082437,-2.95906432748538,0.23529411764705882,1.2352941176470773,-1.0175438596491229,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
1.899035371837764,9.377823665530922,-2.859649122807017,-0.08823529411764706,0.8823529411764928,2.824561403508772,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
1.5349322158756555,9.03630095294617,-3.5029239766081868,0.6176470588235294,1.4705882352941337,0.4035087719298246,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0
1.4898268987583947,9.088005954332132,-3.567251461988304,0.5588235294117647,1.3529411764706054,-0.4035087719298246,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1.8182546614944186,9.399315083111057,-3.157894736842105,0.5294117647058824,0.6470588235294155,0.4035087719298246,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1
1.5254318529772959,9.113178956742008,-3.4502923976608186,0.4411764705882353,1.5882352941176618,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
1.8819042910644515,9.345808139691641,-2.9766081871345027,-0.3235294117647059,1.2352941176470773,2.2105263157894735,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
1.445128242526478,8.72760118958844,-3.333333333333333,0.4411764705882353,1.7058823529412108,-1.0175438596491229,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1.4617950543044818,8.73364421306315,-3.421052631578947,0.7352941176470589,1.8235294117647391,-0.21052631578947373,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
1.4615012529436597,8.752805118946695,-3.421052631578947,0.7352941176470589,1.8235294117647391,-0.21052631578947373,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
1.5204642009129974,9.073513484085577,-3.157894736842105,0.23529411764705882,1.7647058823529644,0.0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1
1.5563016824121199,9.039760170461152,-3.157894736842105,0.4411764705882353,1.7058823529412108,0.192982456140351,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
1.8999505552210714,9.407183307729134,-2.807017543859649,-0.23529411764705882,1.117647058823549,3.421052631578948,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
1.4463000438541747,8.734451636450899,-3.157894736842105,0.3235294117647059,1.8235294117647391,-1.0175438596491229,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1.4665437955509133,8.73544411033968,-3.222222222222222,0.4411764705882353,1.8823529411764928,0.192982456140351,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
1.4627068335721998,8.747713674222418,-3.0643274853801166,0.35294117647058826,2.0588235294117956,-0.4035087719298246,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
1.4942412511119836,9.043012867527475,-3.251461988304093,0.47058823529411764,1.6470588235294363,-0.21052631578947373,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
1.4666545602350727,8.743193483461933,-3.0643274853801166,0.35294117647058826,2.0588235294117956,-0.4035087719298246,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
1.468440673499033,8.729568756932201,-2.807017543859649,0.17647058823529413,2.0588235294117956,0.8070175438596493,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1.4332036256187715,8.730288255772498,-2.807017543859649,-0.23529411764705882,2.000000000000021,0.192982456140351,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1.4642161660532858,8.738217056314259,-2.7777777777777777,0.0,2.0588235294117956,0.5964912280701754,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0
1.47527797058674,8.732169943325717,-2.695906432748538,0.08823529411764706,2.0588235294117956,0.5964912280701754,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
1.4821524510908783,8.73771583527489,-2.695906432748538,0.08823529411764706,2.0588235294117956,0.5964912280701754,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
1.457159958147708,8.74232573974512,-2.596491228070175,-0.38235294117647056,1.9411764705882673,0.192982456140351,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0
1.4639914944244183,8.75305866880445,-2.596491228070175,-0.38235294117647056,1.9411764705882673,0.192982456140351,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
1.4703255061150713,8.730268830581783,-2.631578947368421,-0.14705882352941177,2.0588235294117956,-0.21052631578947373,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1.4589151725163232,8.738603259777026,-2.631578947368421,-0.14705882352941177,2.117647058823549,0.4035087719298246,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0
1.4576475322420486,8.736040923764934,-2.631578947368421,-0.14705882352941177,2.117647058823549,0.4035087719298246,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
1.4612705586487547,8.73609357625555,-2.631578947368421,-0.3235294117647059,2.1764705882353237,0.4035087719298246,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
1.518927897362249,9.048075174465678,-2.7485380116959064,-0.14705882352941177,2.1764705882353237,-1.0175438596491229,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1
1.5257743593765407,9.047831337203283,-2.859649122807017,0.0,2.235294117647098,-0.4035087719298246,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
1.460180717950235,8.736021242979604,-2.859649122807017,0.17647058823529413,2.235294117647098,-1.0175438596491229,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
1.4614672117877718,8.737435192387974,-2.3040935672514617,-0.08823529411764706,0.4117647058823591,1.8070175438596494,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0
1.4694655741463176,8.738564153800983,-2.3684210526315788,0.11764705882352941,0.8235294117647182,1.8070175438596494,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
1.5557722115105317,9.049590339341453,-2.5146198830409356,0.5294117647058824,0.35294117647060547,1.2105263157894737,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1
1.5563016824121199,9.039760170461152,-2.7485380116959064,0.2647058823529412,1.0000000000000209,3.2280701754385968,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1
1.5563556245514503,9.035054929199642,-2.7485380116959064,0.2647058823529412,1.0000000000000209,3.2280701754385968,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1
1.4934069809376729,9.061029220726516,-2.695906432748538,0.0,0.9411764705882464,3.017543859649123,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
1.5098399561602283,9.079634463917769,-2.923976608187134,0.17647058823529413,1.6470588235294363,1.4035087719298247,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
1.5332820053802048,9.045349002305587,-3.2748538011695905,-0.5294117647058824,3.3529411764706265,1.0000000000000002,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
1.792511953846477,9.316795594980162,-3.385964912280701,-0.029411764705882353,3.0000000000000417,1.4035087719298247,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
1.6775717291342604,9.164622740431774,-3.4502923976608186,-0.11764705882352941,3.0588235294117956,1.0000000000000002,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1.5260909421263036,8.733010338418756,-3.222222222222222,-0.3235294117647059,3.529411764705929,0.5964912280701754,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
1.523405880491846,9.04773600041201,-3.1052631578947367,-0.5588235294117647,3.2941176470588727,1.8070175438596494,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
1.5304073606929518,9.069034188463446,-3.1052631578947367,-0.5588235294117647,3.2941176470588727,1.8070175438596494,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
1.5221974194578076,9.04801664329892,-3.2748538011695905,0.23529411764705882,3.235294117647098,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
1.5146855837734183,9.044301831169273,-3.1052631578947367,0.08823529411764706,3.11764705882357,0.8070175438596493,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
1.5201295501651102,9.048322845647299,-3.1052631578947367,0.08823529411764706,3.11764705882357,0.8070175438596493,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
1.5213063267386677,9.081705547080455,-2.935672514619883,0.5,1.5882352941176618,0.8070175438596493,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1
1.505360925610451,9.040380498590961,-2.830409356725146,0.7058823529411765,1.5294117647059082,-1.0175438596491229,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1
1.388094380675832,8.861831557781432,-2.5146198830409356,1.0,0.70588235294119,0.4035087719298246,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1
1.432609214665952,8.728406312624664,-2.5146198830409356,0.8823529411764706,0.0,0.4035087719298246,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1
1.5206988230335814,9.044963054437424,-2.5789473684210527,0.7941176470588235,0.5294117647058872,0.0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1
